drink,ingredient_number,ingredient,measure,category
'57 Chevy with a White License Plate,1,creme de cacao,1 oz white,other
'57 Chevy with a White License Plate,2,vodka,1 oz,vodka
1-900-FUK-MEUP,1,absolut kurant,1/2 oz,other
1-900-FUK-MEUP,2,grand marnier,1/4 oz,other
1-900-FUK-MEUP,3,raspberry liqueur,1/4 oz,liqueur
1-900-FUK-MEUP,4,melon liqueur,1/4 oz,liqueur
1-900-FUK-MEUP,5,malibu rum,1/4 oz,rum
1-900-FUK-MEUP,6,amaretto,1/4 oz,other
1-900-FUK-MEUP,7,cranberry juice,1/2 oz,juice
1-900-FUK-MEUP,8,pineapple juice,1/4 oz,juice
110 in the shade,1,lager,16 oz,other
110 in the shade,2,tequila,1.5 oz,other
151 Florida Bushwacker,1,malibu rum,1/2 oz,rum
151 Florida Bushwacker,2,light rum,1/2 oz,rum
151 Florida Bushwacker,3,151 proof rum,1/2 oz Bacardi,rum
151 Florida Bushwacker,4,dark creme de cacao,1 oz,other
151 Florida Bushwacker,5,cointreau,1 oz,other
151 Florida Bushwacker,6,milk,3 oz,other
151 Florida Bushwacker,7,coconut liqueur,1 oz,liqueur
151 Florida Bushwacker,8,vanilla ice-cream,1 cup,other
155 Belmont,1,dark rum,1 shot,rum
155 Belmont,2,light rum,2 shots,rum
155 Belmont,3,vodka,1 shot,vodka
155 Belmont,4,orange juice,1 shot,juice
24k nightmare,1,goldschlager,1/2 oz,other
24k nightmare,2,jägermeister,1/2 oz,other
24k nightmare,3,rumple minze,1/2 oz,other
24k nightmare,4,151 proof rum,1/2 oz Bacardi,rum
252,1,151 proof rum,1/2 shot Bacardi,rum
252,2,wild turkey,1/2 shot,other
3 Wise Men,1,jack daniels,1/3 oz,other
3 Wise Men,2,johnnie walker,1/3 oz,other
3 Wise Men,3,jim beam,1/3 oz,other
3-Mile Long Island Iced Tea,1,gin,1/2 oz,other
3-Mile Long Island Iced Tea,2,light rum,1/2 oz,rum
3-Mile Long Island Iced Tea,3,tequila,1/2 oz,other
3-Mile Long Island Iced Tea,4,triple sec,1/2 oz,other
3-Mile Long Island Iced Tea,5,vodka,1/2 oz,vodka
3-Mile Long Island Iced Tea,6,coca-cola,"
",other
3-Mile Long Island Iced Tea,7,sweet and sour,1-2 dash,other
3-Mile Long Island Iced Tea,8,bitters,1 wedge,other
410 Gone,1,peach vodka,2-3 oz,vodka
50/50,1,vanilla vodka,2 1/2 oz,vodka
50/50,2,grand marnier,1 splash,other
50/50,3,orange juice,Fill with,juice
501 Blue,1,blue curacao,"
",other
501 Blue,2,blueberry schnapps,"
",schnapps
501 Blue,3,vodka,"
",vodka
501 Blue,4,sour mix,"
",other
501 Blue,5,7-up,"
",other
69 Special,1,gin,2 oz dry,other
69 Special,2,7-up,4 oz,other
69 Special,3,lemon juice,0.75 oz,juice
747,1,kahlua,1/3 part,other
747,2,irish cream,1/3 part,cream
747,3,frangelico,1/3 part,other
9 1/2 Weeks,1,absolut citron,2 oz,other
9 1/2 Weeks,2,orange curacao,1/2 oz,other
9 1/2 Weeks,3,strawberry liqueur,1 splash,liqueur
9 1/2 Weeks,4,orange juice,1 oz,juice
A Day at the Beach,1,coconut rum,1 oz,rum
A Day at the Beach,2,amaretto,1/2 oz,other
A Day at the Beach,3,orange juice,4 oz,juice
A Day at the Beach,4,grenadine,1/2 oz,other
A Furlong Too Late,1,light rum,2 oz,rum
A Furlong Too Late,2,ginger beer,4 oz,other
A Furlong Too Late,3,lemon peel,1 twist of,other
A Gilligan's Island,1,vodka,1 oz,vodka
A Gilligan's Island,2,peach schnapps,1 oz,schnapps
A Gilligan's Island,3,orange juice,3 oz,juice
A Gilligan's Island,4,cranberry juice,3 oz,juice
A Night In Old Mandalay,1,light rum,1 oz,rum
A Night In Old Mandalay,2,añejo rum,1 oz,rum
A Night In Old Mandalay,3,orange juice,1 oz,juice
A Night In Old Mandalay,4,lemon juice,1/2 oz,juice
A Night In Old Mandalay,5,ginger ale,3 oz,other
A Night In Old Mandalay,6,lemon peel,1 twist of,other
A Piece of Ass,1,amaretto,1 shot,other
A Piece of Ass,2,southern comfort,1 shot,other
A Piece of Ass,3,ice,"cubes
",other
A Piece of Ass,4,sour mix,"
",other
A Splash of Nash,1,cranberry juice,2 oz,juice
A Splash of Nash,2,soda water,2 oz,other
A Splash of Nash,3,melon liqueur,0.5 oz,liqueur
A Splash of Nash,4,creme de banane,0.5 oz,other
A True Amaretto Sour,1,amaretto,1 jigger,other
A True Amaretto Sour,2,lemon,Juice of 1/2,other
A True Amaretto Sour,3,ice,"
",other
A midsummernight dream,1,vodka,2 oz,vodka
A midsummernight dream,2,kirschwasser,1 oz,other
A midsummernight dream,3,strawberry liqueur,1 tsp,liqueur
A midsummernight dream,4,strawberries,5,other
A midsummernight dream,5,schweppes russchian,"
",other
A. J.,1,applejack,1 1/2 oz,other
A. J.,2,grapefruit juice,1 oz,juice
A.D.M. (After Dinner Mint),1,white creme de menthe,1/2 oz,other
A.D.M. (After Dinner Mint),2,southern comfort,3/4 oz,other
A.D.M. (After Dinner Mint),3,vodka,1/2 oz,vodka
A.D.M. (After Dinner Mint),4,hot chocolate,Fill with,chocolate
A1,1,gin,1 3/4 shot,other
A1,2,grand marnier,1 Shot,other
A1,3,lemon juice,1/4 Shot,juice
