i,ingredient,drink,performance
1,coffee,Spiking coffee,1
2,kahlua,Iced Coffee Fillip,2
3,irish cream,Baby Guinness,3
4,sambuca,Bumble Bee #1,5
4,sambuca,Dirty Nipple,5
5,grand marnier,B-52,8
5,grand marnier,B-53,8
5,grand marnier,Talos Coffee,8
6,vodka,Screaming Orgasm,9
7,peach schnapps,Fuzzy Asshole,11
7,peach schnapps,Sex on the Beach,11
8,orange juice,Screwdriver,12
9,grenadine,Addison Special,14
9,grenadine,Bruce's Puce,14
10,amaretto,Amaretto Sunrise,16
10,amaretto,Godmother,16
11,champagne,Bellini,18
11,champagne,Mimosa,18
12,cranberry juice,A Gilligan's Island,20
12,cranberry juice,Absolutely Fabulous,20
13,sour mix,Amaretto Sour,22
13,sour mix,Amaretto Stone Sour,22
14,tequila,Amaretto Stone Sour #3,24
14,tequila,Tequila Sunrise,24
15,white creme de menthe,Amaretto Stinger,26
15,white creme de menthe,Zorro,26
16,brandy,Kioki Coffee,28
16,brandy,Stinger,28
17,light cream,Amaretto And Cream,30
17,light cream,Scooter,30
18,creme de cacao,'57 Chevy with a White License Plate,33
18,creme de cacao,Almond Joy,33
18,creme de cacao,Foxy Lady,33
19,gin,Alexander,36
19,gin,Poppy Cocktail,36
19,gin,Ruby Tuesday,36
20,triple sec,Flying Dutchman,39
20,triple sec,Orange Crush,39
20,triple sec,Orgasm,39
21,lemon juice,A1,42
21,lemon juice,City Slicker,42
21,lemon juice,White Lady,42
22,pineapple juice,Afterglow,45
22,pineapple juice,Hawaiian Cocktail,45
22,pineapple juice,Waikiki Beachcomber,45
23,light rum,Between The Sheets,48
23,light rum,Havana Cocktail,48
23,light rum,Rum Screwdriver,48
24,lime,Amaretto Mist,51
24,lime,Boston Sidecar,51
24,lime,Cuba Libre,51
25,apricot brandy,After Dinner Cocktail,54
25,apricot brandy,After Supper Cocktail,54
25,apricot brandy,Paradise,54
26,green creme de menthe,Arise My Love,57
26,green creme de menthe,Grasshopper,57
26,green creme de menthe,Port And Starboard,57
27,lime juice,Kamikaze,59
